articleTitle.auto(),articleBody.auto(),difficulty.auto(),sourceURL.auto(),fake.boolean(),factCheck.auto(),factCheckURL.auto(),imageURL.auto(),index.auto()
Number of women to lose their unborn child after having the Covid Vaccine increases by 366% in just six weeks,"Losing a new born is a heart breaking endeavour, as in the pain of losing an unborn child. Which is why we're both saddened and shocked to bring you the latest update on the number of unborn and newborn children to lose their lives as a result of the mothers receiving one of the Covid-19 vaccines in the United Kingdom.

The Government have released weekly reports on adverse reactions to the experimental Covid-19 vaccines, the first of which covered data inputted to the MHRA Yellow Card Scheme from the 9th December 2020 through to the 24th January 2021. Their latest report, which is the seventh to be released covers data inputted to the MHRA Yellow Card scheme from the 9th December 2020 though to the 7th March 2021. 

Just six weeks separate the first and seventh report, and the shocking increase in the number of women losing their unborn and newborn child in that time due to having either the Pfizer or AstraZeneca Covid vaccine is appalling.

This was the Governments own advice upon emergency approval of the Pfizer / BioNTech vaccine –

There are no limited amount of data from the use of COVID-19 mRNA Vaccine BNT162b2.

Animal reproductive toxicity studies have not been completed. COVID-19 mRNA Vaccine BNT162b2 is not recommended during pregnancy.

For women of childbearing age, pregnancy should be excluded before vaccination. In addition, women of childbearing age should be advised to avoid pregnancy for at least 2 months after their second dose.

We told you about this back in December, as the Governments own advice also included comments on breast-feeding and fertility which were as follows - 

It is unknown whether COVID-19 mRNA Vaccine BNT162b2 is excreted in human milk. A risk to the newborns/infants cannot be excluded. COVID-19 mRNA Vaccine BNT162b2 should not be used during breast-feeding.

It is unknown whether COVID-19 mRNA Vaccine BNT162b2 has on fertility.

It is because of this advice released by the UK Government that we were so shocked to see in the first released report of adverse reactions to the Covid vaccines, using data inputted to the MHRA Yellow Card Scheme up to the 24th January 2021 a total of 4 women had suffered a miscarriage as a result of having the Pfizer/BioNTech vaccine.

According to the seventh report released by the UK GOvernment on adverse reactions to the Covid vaccines, using data inputted to the MHRA Yellow Card Scheme up to the 7th March 2021, there has been a 475% increase since the 24th January in the number of women who have lost their unborn child after having the Pfizer vaccine, bringing the total to 23. This is devastating.

Sadly there is also now 1 report of a premature baby sadly dying after the mother had the Pfizer vaccine.

Tragically there has also been 1 still birth reported to the MHRA Yellow Card Scheme after the mother had the AstraZeneca vaccine, but shockingly this has not been labelled as a fatality.

The question is why are we seeing these numbers when the Governments own advice was that pregnant women should not have the vaccine?",easy,https://dailyexpose.co.uk/2021/03/21/miscarriages-after-having-covid-vaccine-increases-by-366-percent/ ,TRUE,"This is fake news. There is no evidence to suggest that COVID-19 vaccines increase risk of miscarriage. If a headline contains large numbers (like 366%), it could be a clickbait article to induce fears and uncertainties in the current pandermic. Also take note of the non-familiar source of the news.
Please click on the link to view the full fact check:",https://www.reuters.com/article/factcheck-miscarriage-vaccine-idUSL1N2LT21A,NULL,1
Newborn becomes first baby to be named an emoji: 😍😍😍,"California newborn becomes first baby to be named an emoji: Her first name is “😍 😍 😍”.

The United States is among the lightest of the naming laws worldwide governing given names and this freedom has given rise to a wide variety of names and naming trends. Cultural diversity in the U.S. has led to great variations in names and naming traditions. Names have been used to express creativity, personality, cultural identity, and values.

The official explained: 
Naming traditions play a role in the cohesion and communication within American cultures. I’ve given my consent and I’ve signed the birth certificate because I support free speech.

The name is officially pronounced as ""Hearteyeemojiheartesemojihearteyesemoji"" but it's written as “😍 😍 😍”. If a system doesn't support Unicode 0.0.0 emoji characters, the girl can use the Unicode number (U+1F60D) or HTML-code of the characters (&#128525;).",medium,https://prettycoolsite.com/california-newborn-baby-name-emoji-smiley-heart/,TRUE,"This is fake news. This story was made up and shared by a satirical news site (Pretty Cool Site). If you are unsure about a story, remember to question the source. Ask yourself: Does ""Text Fancy.com"" look like a trusted news site?
Please click on the link to view the full fact check:",https://www.snopes.com/fact-check/california-newborn-named-emoji/,https://i.ibb.co/NNt6TGx/medium1.jpg,1
It could be a miracle cure for dengue. And the best part is you can make it at home. (apologies for the typo in the pic),"The juice of the humble papaya leaf has been seen to arrest the destruction of platelets that has been the cause for so many deaths this dengue season. Ayurveda researchers have found that enzymes in the papaya help regenerate platelets and white blood cells

Scores of patients have benefitted from the papaya leaf juice, say doctors.

Papaya has always been known to be good for the digestive system. Due to its rich vitamin and mineral content, it is a health freak's favourite. But its dengue-fighting properties have only recently been discovered. 

Chymopapin and papin - enzymes in the papaya leaf - help revive platelet count, say experts. ...",hard,https://m.facebook.com/healthdigest/photos/a.187939824672351/210685889064411/?type=3&source=48&__tn__=EHH-R ,TRUE,"This is fake news. Fictitious posts on social media websites may refer to ""doctors"" or ""experts"" to make their claims sound believable. Fake news articles can make up ""experts"" or attribute claims to real experts who never said these claims.
Please click on the link to view the full fact check:",https://www.thenewsminute.com/article/tnm-fact-check-papaya-leaf-juice-doesnt-cure-dengue-113078,https://i.ibb.co/09hZ2jR/hard1.jpg,1
S'poreans to rid country of old people instead of raising GST to 9%,"Singaporeans from all walks of life, who have their priorities right, have voted in a referendum to rid the country of all old people instead of raising the GST to 9 percent to fund their future needs.

This after Singapore announced that more money is needed in the future as people are getting older and will need to find ways to pay for their increased expenditure. 

But after careful deliberation, Singaporeans voted in favour of no old people left in the country. 

One Singaporean, Gan Diao Tah, said: ""Singapore is always faced with hard choices and forks in the road.""

""So, now we must make another hard choice. Do we want to make the current generation pay for the future spending by increasing the GST to 9 percent? Or do we want to get rid of old people now so that we don't make the young pay more?""

""The choice is simple. Let's get rid of old people.""

Old Singaporeans said the need to put nation before self made them approve the new meansure.

One old Singaporean, Jin Lao Lang, said: ""Singaporeans are going to have it bad with a 9 percent GST in place.""

""There is not much time for me already. And by the looks of it, Singaporeans by and large also do not have much time already.""

""Let's make the hard choices to keep Singapore going.""",easy,https://newnation.sg/2018/03/gst-9-percent-vs-old-singaporeans/,TRUE,"This is fake news. This news came from an unknown news website (newnation). Take note of how the webpage is cluttered with ads, some of which may contain links to computer virus. Also, if you pay close attention to the website name, it indicates that it is ""50% real news"". This may be an example of a parody site where the articles are made up for humor.
Please click on the link to view the full fact check: ",https://www.straitstimes.com/singapore/gst-hike-to-9-will-happen-between-next-year-and-2025,https://i.ibb.co/hL6kkx3/easy2.jpg,2
"CLEVER GORILLA LEARNS HOW TO KNIT 
THE RESOURCEFUL PRIMATE WAS FOUND KNITTING HERSELF A SCARF","Gorillas are known to be pretty smart primates, but who would have thought they are capable of knitting? Although not the product of some science experiment, Penny the gorilla, from the National Zoo, managed to pull a pretty swell surprise on her caretakers. 

The whole thing happened purely by accident. Someone with a passion for knitting forgot their yarn and needles in the gorilla’s habitat. Penny, who thought the items looked pretty funny, fiddled with them around. Next thing, she was casting on her stitches and starting to make herself a scarf. 

Just how intelligent gorillas really are? This is a question for scientists and one that may have found a small step for solving in this minor incident. No matter what motivated Penny to knit half a scarf, it is obvious she proved gorillas are much more than what can be seen with the naked eye. 

Knitting is a centuries old human occupation and it involves dexterity, problem solving and creativity. Apparently, Penny the gorilla lacks none of the above, as she even managed to swap between colors. 

Hilarious responses to the story were inevitable. The news broke on Facebook and Twitter, and many people were engrossed with it. After all, it is not every day that a gorilla takes on knitting just like that.

Monkeys are known to be great at imitating human behavior, a proof that we are not that far from our closest relatives in the food chain. 

Now all that is left for Penny to do is to start knitting for the entire zoo. All the animals could use a bit of extra warmth and the handy and crafty Penny will not hesitate to help each one of them with a small knitted creation. ",medium,https://theknittingspace.com/clever-gorilla-learns-knit/ ,TRUE,"This is fake news. This is an altered version of photograph taken at the zoo in 2009. When the claims made by the news sound unbelievable or strange, it is wise to cross-check with other sources.
Please click on the link to view the full fact check:",https://www.snopes.com/fact-check/gorilla-knitting/,https://i.ibb.co/VvwTsSv/medium2.jpg,2
U.S. Airlines May Start Weighing Passengers At The Gate,"U.S. airlines may need to start weighing passengers in order to comply with FAA rules. For safety reasons, carriers need to calculate an aircraft’s weight and balance, and it has to be within allowable limits for the plane. However the assumptions they’ve been using for passengers are outdated. Americans are getting fatter, and the federal government wants airlines to find out how much fatter their passengers have gotten, at least for smaller aircraft. 

• The FAA realizes that passenger weight can vary by route and airlines may want to document this difference. 
• Standard weights may not be appropriate for smaller planes, with smaller sample size and greater likelihood of variance from average. 

Airlines can use standard weights published by the CDC for larger aircraft, with variance for winter and summer based on greater weight assumptions for clothing in the winter. However they outline a method for smaller aircraft to determine “[a]ctual passenger and bag weights” and to determine whether aircraft up to 70 seats should be considered small or large for this exercise. 

Airlines also have to calculate average weights for crewmembers and crew bags, too. 

How Some Airlines May Weigh Passengers 

Air Insight reviews the details of new documentation requirements for aircraft weight and balance contained in ‘Advisory Circular 120-27F’ that are pending. The FAA took public comment on their draft guidance last spring, and we’re reaching the point where final FAA action should take place. 

The FAA says that surveys should be done at airports representing at least 15% of an airline’s daily departures in the secure area of the airport (to ensure that connecting passengers are included) and should select passengers at random. This is voluntary and passengers have to be allowed to opt out, with airlines then selecting another passenger at random and not the person who is next in line. 

Not only might we start seeing this soon, but it could become a regular occurrence, since “the FAA recommends operators accomplish such a review every 36 calendar-months.” Fortunately when airlines stick scales at boarding gates for this, the FAA notes, the scale’s “readout should remain hidden from public view” to protect passenger privacy. 

Some airlines, by the way, might not do this as a statistically valid survey every three years – carriers have the option of marking down the actual weights of each passenger on every flight, either by weighing everyone or just asking their weights and then having gate agents guess if a passenger is lying. 

Airlines All Over The World Weigh Passengers Already 

While it’s foreign to the U.S., weighing passengers isn’t all that uncommon abroad. Air New Zealand just went through a passenger weighing exercise similar to what U.S. carriers are going to have to do. 

Samoa Air reportedly charged passengers based on their weight, like the unmemorable chain restaurant I went to as a kid which ran a promotion charging children by their weight for meals. And in 2015 Uzbekistan Airways announced they would require all passengers to weigh in prior to boarding for safety even though airlines the world over maintain excellent safety records without the practice. 

I’ve even had to get on the scale myself. When I first flew Maldivian from Male on my first visit to the Maldives in 2012 I had to get on the scale at check-in. So did my wife, and – it appeared – every other foreigner. Maldivians did not seem to be asked to weigh in. 

On subsequent trips each year since the practice appeared to be abandoned. I was never asked to weigh in again, although Maldivian’s website says that the policy is still in place. 

Will New Weight Data Mean More Legroom For Passengers? 

Some consumer advocates have wanted minimum standards for legroom on planes. That would never do anything to hurt American, United or Delta. Instead it would potentially outlaw the tight seating you’ll find on Spirit Airlines or Frontier. And as a result it would undercut the pricing pressure they place on American, United, and Delta. In other words, we’d wind up with the same seats on the major airlines we have today – along with higher prices. 

However government weight rules could wind up affecting how many passengers the major airlines can place on board aircraft. Depending on the outcome of this study, American Airlines might no longer be permitted to stick 172 passengers on its Boeing 737s. 

Each passenger weighing more might mean being allowed to carry fewer passengers – if not now, then if passengers on average gain weight in subsequent weigh-in exercises. And as a result of being allowed to carry fewer passengers, they might as well either give back some of the distance between seats (in economy or first), or make more seats extra legroom Main Cabin Extra. 
None of this would be happening for passenger comfort. So even in the extreme, where airlines had to change their seating capacity, it would mean more legroom (fewer passengers) and not more seat width even though it is passenger girths that have changed. 

Since airlines will be lobbying vociferously against changes that would affect seating capacity, and they have allies in Congress like House Transportation Committee Chairman Pete DeFazio (D-Airlines For America), I’m not betting that the FAA will make changes that require removing seats from aircraft no matter what the data says.",hard,https://viewfromthewing.com/u-s-airlines-may-start-weighing-passengers-at-the-gate/,FALSE,"This is real news. As obesity rates continue to rise over the years, the Federal Aviation Administration noted that there was a higher risk of error between passengers' actual weight and the averages. Hence, weighing is in place to ensure that aircrafts maintain a safe weight in the sky and ensure efficiency of fuel and power.
Please see the link for more information:",https://www.snopes.com/fact-check/airlines-weigh-passengers/,https://i.ibb.co/h2q87V7/hard2.jpg,2
Reports: Oklahoma woman shocked by lightning through laptop,"Officials said the lightning struck the woman's home, traveled through the electrical current, through power cords to her laptop, while she taught an online class. 

WASHINGTON — A woman was shocked, literally, when a storm blew through her town of Guthrie, Oklahoma, according to reports.

WBAL claimed that two bolts of lightning hit a couple's home and shocked a woman through her laptop, which she was using to teach an online class. After the incident, the couple found holes in their roof and their back deck caught on fire. However, firefighters were on the scene quickly to help. 

“The homeowner was inside working on teaching an online class via her laptop computer and was subsequently shocked while typing on that computer when the lightning hit,” Eric Harlow, Guthrie Fire Department Chief, told KFOR. “She was very, very minorly injured. Refused any treatment at the scene but as you can imagine was pretty scared and shook up.” 

Harlow told KFOR that the lightning strike traveled through the home's electrical current, through the power cords and the house causing the woman to be shocked. 

The National Weather Service claims that there are three main ways lightning can enter a structure, either by a direct strike, through wires or pipes that extend outside the structure or through the ground. It's recommended that during a lightning storm individuals stay off corded phones and electrical equipment like computers or TVs. 

The National Weather Service also said it isn't uncommon for lightning to strike in the same place twice. It said that lightning ""often strikes the same place repeatedly, especially if it's a tall, pointy, isolated object."" 

""You wouldn't think that a laptop would do that, but unfortunately, as she experienced today, it very much can,"" Guthrie Fire Chief Eric Harlow told WBAL.",easy,https://www.wzzm13.com/article/news/nation-world/oklahoma-woman-lightning-shock-through-laptop/507-bdf6048d-d07a-4cd8-bf15-83a3650fa1c9,FALSE,"This is real news. While cases like such are rarely reported, it is true that a teacher in Oklahoma was teaching an online class using a laptop during an electrical storm and experienced a shock through her computer. 
Please see the link for more information:",https://www.snopes.com/fact-check/lightning-shock-teacher-laptop/,https://i.ibb.co/tHm0Y9t/easy3.png,3
"‘They taste just like ice cream’: People cannot get enough of blue Java bananas; have you tried them? 
Grown mostly in Southeast Asia and Hawaii, these blue-coloured bananas are known to taste like vanilla ice-cream","Bananas are popular world-over for being extremely nutritious. But, we are not talking about yellow bananas; a new variety of bananas is being talked-about these days. Called the Blue Java Bananas, they have a bluish tint and are said to have a creamy texture. But it is not only their unique colour and texture, the bananas — according to some people — taste like vanilla! For many, these even make an amazing choice for desserts. 

However, these bananas are quite rare and are not found everywhere. They are primarily grown in the Southeast Asian region but are also quite well-known in Hawaii. These fruits are a hybrid of two other kinds of bananas, namely Musa balbisiana and Musa acuminata. Interestingly enough, these bananas are cold tolerant and can grow even at temperatures below freezing point. But the ideal temperature for their growth is 40F. 

When these bananas are ripe, they generally have a pale yellow colour. 

Their deliciousness does not take away from nutrition though. These bananas, like other varieties, are rich in fibre, manganese, vitamins C and B6. Added to this, they also contain some amounts of iron, phosphorus, thiamine, and selenium.",medium,https://indianexpress.com/article/lifestyle/food-wine/blue-java-bananas-vanilla-taste-7247988/,FALSE,"This is real news. Blue Java Bananas do exist, but experts warn that many photographs circulating online have been modified to make their colour appear more ‘dramatic’. The colour tends to fade as the banana ripens. 
Please see the link for more information:",https://www.thip.media/health-news-fact-check/fact-check-is-there-a-blue-banana-that-tastes-like-vanilla-ice-cream/21644/,https://i.ibb.co/18tWhxn/medium3.jpg,3
"The Moon is going to get its own 4G network, thanks to this rugged lunar rover","Nokia has been tasked by NASA to establish a reliable 4G network on the surface of the moon. One year ahead of launch, there is still much to plan for. 

From connecting offshore oil rigs and underground mines, to letting climbers livestream from 5,200 meters above sea level on Mount Everest: 4G networks are already capable of reaching some of the most remote spots on the planet. Now, the technology is gearing up for its next, extra-terrestrial challenge – to connect the Moon. 

NASA is planning to establish a sustainable human presence on the Moon by the end of the decade as part of its Artemis program, and with such a project inevitably comes a host of logistics issues. But although food, sleep or spacesuit design might be first to spring to mind, equally as important to life in outer space is appropriate communication.

This is why, with 4G networks – and the LTE technology that supports them – having already proven their resilience back on Earth, last year NASA turned to leading telecoms provider Nokia with an unusual request: to design a system that will establish a 4G network to be used by future moonwalking astronauts. 

The idea of internet-equipped space is not new. Astronauts on the International Space Station (ISS), for example, have been using Wi-Fi since 2008, and can now connect even their spacesuit to the network to stream video from space, communicate with other extraterrestrial vehicles or facilitate docking procedures. 
NASA has also developed proprietary software to enable communications between space and Earth, which requires an extensive network of antennas set up around the globe, as well as relay satellites, to forward data across billions of kilometers back to the ground. 

Nokia's option differs slightly, in that the company was tasked with setting up a local network on the Moon, which will only extend across roughly five kilometers, to enable communication between astronauts and equipment on the ground. 
""In their personal lives, astronauts have smartphones – so when they go into space, why would they not have access to the same capabilities for their communication and collaboration needs?"" Thierry Klein, head of the industrial automation research lab at Nokia Bell Labs, tells ZDNet. 

With space-equivalents of smartphones and devices connecting to a local moon-based 4G/LTE network, says Klein, astronauts would benefit from higher throughput, lower latency, and a larger range than they would with Wi-Fi. 

The network will take on various data-transmission applications, ranging from ordinary voice and video communications to remote control of lunar rovers, real-time navigation and streaming of high-definition video.  

While for now NASA is mostly thinking of using lunar 4G for experiments such as remote driving a rover to more distant locations than would be possible with Wi-Fi, Klein does not shy of thinking big. ""In the future, as we establish a longer-term presence on the moon and build more communities, and perhaps in the future on Mars, there will be more needs for voice communication,"" he says. 

In the near future, however, the focus remains on making the technology work reliably as part of a first, un-crewed mission planned for 2022, to test the readiness of the technology and validate some of the key applications before Nokia's 4G infrastructure can be used by actual astronauts at a future date. 

To transport 4G technology to the moon, Nokia is working with autonomous spacecraft company Intuitive Machines, which is building a lunar lander to carry the LTE communications system through space, and safely deliver the network equipment to the lunar surface. 

Nokia is fitting Intuitive Machine's lander with an LTE base station similar to those found in Earth-based 4G networks, which will self-configure upon deployment – but in this case, the station will be made into a compact single unit that integrates several network components, such as Evolved Packet Core (EPC) functionalities and RF antennas. 

The lander will then deploy a rover that will drive off with user equipment: ""The equivalent of a smartphone, but hardened for space conditions,"" says Klein – and an omni-directional antenna that will link back to the base station and effectively establish 4G connectivity.  

A satellite connection will then be used from the lander to communicate with mission control back on Earth, from where commands will be sent, and network equipment will be remotely managed. 

On the face of it, therefore, the process sounds straightforward and fairly similar to the deployment of a conventional network. That is only on the face of it, though: as Klein explains, the constraints of space mean that every detail has to be carefully planned for. 

First, there is launch and landing. ""The system has to be mechanically robust for launch and landing, to withstand shock, vibration, acceleration and all the mechanical stresses that come from just deploying it in space,"" says Klein. 

Even once the lander has successfully reached the lunar surface, he continues, the system must be ready for the extreme temperature variations of outer space, as well as terrain characteristics that are specific to the moon – ranging from different radio propagation to rock boulders, mountains and craters. 

There is also the question of size, weight and power, all of which have to be reduced to a minimum when venturing into space. ""You want reliability, and we have built redundancy in the system, but you have to balance this out with size, weight and power consumption,"" says Klein. ""A lot of work is going into integrating the system as much as possible to reduce all of those."" 

It goes without saying that the system is undergoing all sorts of rigorous testing. In test chambers, the equipment has been subjected to a series of 25 experiments involving different accelerations and vibrations, but also temperatures, radiation levels and even an operational vacuum. 

What's more, with a number of eerie, moon-like landscapes on offer even on planet Earth, Nokia has taken the system out in the open to gauge how well the technology performs on solid ground.

For example, in the Canaries archipelago in Spain, the island of Fuerteventura has a volcanic landscape with a similar setup to the moon. Klein and his team traveled to the spot and deployed the equipment, checking how the antennas performed at different heights and configurations, in a setting devoid of trees or buildings. 

But even more than ensuring that the hardware survives, explains Klein, it is the possibility of software glitches that keeps him up at night. In effect, if the system fails for any reason, sending a technician out to have a look won't exactly be an option. 

""We do remote maintenance on Earth, of course, but you always have the possibility to send somebody out,"" says Klein. ""Once this network is launched, we have to be able to absolutely operate this remotely."" 

To this effect, Klein is constantly tweaking and refining Nokia's operation and maintenance software suite, to let the team reboot, make configuration changes and manage the lunar network remotely – albeit with the knowledge that some setbacks are bound to happen, without any way of preparing for them in advance. 

""Ultimately, the only thing to do is fly and test it for real,"" says Klein. The timing is aggressive: Klein and his team were given two years between the moment Nokia was selected and the first targeted launch. That's not a whole lot of time to prepare to bring 4G/LTE to the moon; but for Klein, the project is on track to stick to the deadline. It looks like the next few years, therefore, will see even the Moon going through its very own digital transformation. ",hard,https://www.zdnet.com/article/the-moon-is-going-to-get-its-own-4g-network-thanks-to-this-rugged-lunar-rover/,FALSE,"This is real news. This is really happening, as Nokia collaborates with NASA to bring 4G communications systems to the moon’s surface! This news has been consistently reported across various news sites like The Guardian and CNN. 
Please see the link for more information:",https://apnews.com/article/technology-moon-f8dbb4557a8ebf00360abb394e7b4303,https://i.ibb.co/z2SkwP1/hard3.png,3
Streets covered with chocolate after factory leak,"There was one sweet mess in the German town of Werl on Monday, when liquid chocolate seeped out of a factory and onto the street. A storage tank overflowed at DreiMeister's chocolate factory, and the molten candy seeped through the gates, freezing on the cold pavement and leaving firefighters with one big headache.

""About a ton of chocolate ran out into the yard and from there onto the street, "" a spokesman for the Werl Fire Brigade said in a statement, translated from German. ""A ten-square-meter choco-pancake formed."" 

The flood of chocolate became quite a traffic hazard, leaving firefighters with no choice but to break out their tools. They ""eliminated the sweet danger with shovels and muscle power,"" the department said. 

But chocolate lovers don't have to worry — despite the mishap, there's apparently plenty more chocolate left. 

Or as the fire official put it: ""Despite the heartbreaking incident, it is unlikely that a chocolate-free Christmas is imminent in Werl.""",easy,https://www.cbsnews.com/news/streets-paved-with-chocolate-after-factory-leak-werl-germany/,FALSE,"This is real news. This might sound like a fictional story that sparks some chocolate cravings, but this surely did happen in Germany where a flood of chocolate filled the streets on a chilly day. 
Please see the link for more information:",https://www.snopes.com/ap/2018/12/12/street-paved-with-chocolate-after-factory-mishap/,https://i.ibb.co/6Z6Qjg4/easy4.jpg,4
